com.samsung.shealth.exercise,6307003,17
live_data_internal,mission_value,race_target,subset_data,start_longitude,routine_datauuid,total_calorie,completion_status,pace_info_id,activity_type,pace_live_data,sensing_status,source_type,mission_type,ftp,tracking_status,program_id,title,reward_status,heart_rate_sample_count,start_latitude,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,custom_id,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.create_sh_ver,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.modify_sh_ver,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.client_data_id,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.client_data_ver,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.auxiliary_devices,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid,com.samsung.health.exercise.sweat_loss
,,,,,,,,,,,,,,,,,,1,,,,,,,,,780000,,,,,2023-01-17 12:07:00.000,1001,,,,,,,,,,2023-01-26 12:01:30.414,2023-01-22 04:00:56.167,,,,,,,,755.13,,15.489409,,,,UTC+0000,7MBL6oqjtV,,,4f90e744-da45-454e-ac34-2f1eb91f8ad9.com.samsung.health.exercise.live_data.json,,,com.google.android.apps.fitness,,,,,2023-01-17 12:20:00.000,4f90e744-da45-454e-ac34-2f1eb91f8ad9,,
70b66ea0-efde-45c1-b096-89a339c4f484.live_data_internal.json,,,,,,67.0,,,,,70b66ea0-efde-45c1-b096-89a339c4f484.sensing_status.json,4,,,,,,,500,,,,,,,,675182,,,,,2022-11-16 12:23:03.742,1001,,,,99.0,30001,,,,118.0,2022-11-16 12:35:54.919,2022-11-16 12:35:54.919,,,1.2222222,67.98167,85.0,,765,561.39,,67.0,97.0,,,UTC+0530,ws0Z2n1c+Y,,,70b66ea0-efde-45c1-b096-89a339c4f484.com.samsung.health.exercise.live_data.json,,0.8314647,com.sec.android.app.shealth,,,,,2022-11-16 12:34:18.924,70b66ea0-efde-45c1-b096-89a339c4f484,,
,,,,,,,,,,,,,,,,,,1,,,,,,,,,600000,,,,,2023-01-20 07:49:00.000,1001,,,,,,,,,,2023-01-26 12:01:32.275,2023-01-22 04:00:55.942,,,,,,,,364.66998,,11.914931,,,,UTC+0000,7MBL6oqjtV,,,418d1d0d-c22e-4cbf-b4e2-0701dc22f6b5.com.samsung.health.exercise.live_data.json,,,com.google.android.apps.fitness,,,,,2023-01-20 07:59:00.000,418d1d0d-c22e-4cbf-b4e2-0701dc22f6b5,,
aa89fdf9-ab3f-44ff-9abf-d01cc72ad031.live_data_internal.json,,,,,,186.0,,,,,aa89fdf9-ab3f-44ff-9abf-d01cc72ad031.sensing_status.json,4,,,,,,,962,,,,,,,,1139166,,,,,2022-10-09 09:45:03.111,1001,,,,93.0,30001,,,,115.0,2022-10-09 10:05:38.505,2022-10-09 10:05:38.505,,,3.8055556,85.69427,70.0,,1627,1487.21,,186.0,158.0,,,UTC+0530,ws0Z2n1c+Y,,,aa89fdf9-ab3f-44ff-9abf-d01cc72ad031.com.samsung.health.exercise.live_data.json,,1.3055252,com.sec.android.app.shealth,,,,,2022-10-09 10:04:02.277,aa89fdf9-ab3f-44ff-9abf-d01cc72ad031,,
69ac3a3a-c8bd-4a7e-bdf5-0bcb0dac309f.live_data_internal.json,,,,,,75.0,,,,,69ac3a3a-c8bd-4a7e-bdf5-0bcb0dac309f.sensing_status.json,4,,,,,,,608,,,,,,,,785881,,,,,2022-11-12 04:55:45.522,1001,,,,104.0,30001,,,,114.0,2022-11-12 05:10:27.909,2022-11-12 05:10:27.909,,,1.1666666,76.11839,84.0,,997,718.74,,75.0,92.0,,,UTC+0530,ws0Z2n1c+Y,,,69ac3a3a-c8bd-4a7e-bdf5-0bcb0dac309f.com.samsung.health.exercise.live_data.json,,0.914566,com.sec.android.app.shealth,,,,,2022-11-12 05:08:51.403,69ac3a3a-c8bd-4a7e-bdf5-0bcb0dac309f,,
6435bca7-56d9-497b-97f7-238d23297bca.live_data_internal.json,,,,,,116.3,,,,,6435bca7-56d9-497b-97f7-238d23297bca.sensing_status.json,4,,,,,,,348,,,,,,,,1092108,,,,,2023-01-29 12:01:48.250,0,,,,136.0,,,,,155.0,2023-01-29 12:20:04.935,2023-01-29 12:20:04.935,,,,,115.0,,,,,116.3,,,,UTC+0530,BAL2wTUNJW,,,6435bca7-56d9-497b-97f7-238d23297bca.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,,2023-01-29 12:19:59.594,6435bca7-56d9-497b-97f7-238d23297bca,,
,,,,,,,,,,,,,,,,,,1,,,,,,,,,1080000,,,,,2023-01-19 13:25:00.000,1001,,,,,,,,,,2023-01-26 12:01:31.729,2023-01-22 04:00:55.714,,,,,,,,496.09003,,21.446877,,,,UTC+0000,7MBL6oqjtV,,,84face23-c699-41b8-aaf5-2e20c4f2cda9.com.samsung.health.exercise.live_data.json,,,com.google.android.apps.fitness,,,,,2023-01-19 13:43:00.000,84face23-c699-41b8-aaf5-2e20c4f2cda9,,
395a93ae-5ef0-4843-8e8d-2e920147f35e.live_data_internal.json,,,,,,413.0,,,,,395a93ae-5ef0-4843-8e8d-2e920147f35e.sensing_status.json,4,,,,,,,2507,,,,,,,,2693845,,,,,2022-11-04 18:42:10.348,1001,,,,112.0,30001,,,,162.0,2022-11-04 19:28:40.101,2022-11-04 19:28:40.101,,,3.9166667,90.98519,72.0,,4085,3680.81,,413.0,171.0,,,UTC+0530,ws0Z2n1c+Y,,,395a93ae-5ef0-4843-8e8d-2e920147f35e.com.samsung.health.exercise.live_data.json,,1.3663778,com.sec.android.app.shealth,,,,,2022-11-04 19:27:04.193,395a93ae-5ef0-4843-8e8d-2e920147f35e,,
,,,,,,,,,,,,,,,,,,1,,,,,,,,,1200000,,,,,2023-01-17 01:50:00.000,1001,,,,,,,,,,2023-01-26 12:01:29.133,2023-01-22 04:00:55.933,,,,,,,,684.06,,23.82986,,,,UTC+0000,7MBL6oqjtV,,,a6f60f15-0dfd-45b6-b578-0af10b4254ab.com.samsung.health.exercise.live_data.json,,,com.google.android.apps.fitness,,,,,2023-01-17 02:10:00.000,a6f60f15-0dfd-45b6-b578-0af10b4254ab,,
,,,,,,,,,,,,,,,,,,1,,,,,,,,,1500000,,,,,2023-01-18 15:35:00.000,1001,,,,,,,,,,2023-01-26 12:01:31.563,2023-01-22 04:00:56.171,,,,,,,,949.24005,,29.787327,,,,UTC+0000,7MBL6oqjtV,,,6a9250db-4b98-4e8b-91bc-3ae2cb58ecda.com.samsung.health.exercise.live_data.json,,,com.google.android.apps.fitness,,,,,2023-01-18 16:00:00.000,6a9250db-4b98-4e8b-91bc-3ae2cb58ecda,,
