com.samsung.shealth.sleep,6307003,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total_sleep_time_weight,original_efficiency,mental_recovery,wake_score,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,deep_score,integrated_id,latency_weight,has_sleep_data,bedtime_detection_delay,sleep_efficiency_with_latency,wakeup_time_detection_delay,total_rem_duration,combined_id,nap_score,sleep_type,sleep_latency,data_version,latency_score,deep_weight,rem_weight,physical_recovery,original_wake_up_time,movement_awakening,is_integrated,original_bed_time,goal_bed_time,quality,extra_data,wake_weight,rem_score,goal_wake_up_time,sleep_cycle,total_light_duration,efficiency,sleep_score,sleep_duration,stage_analyzed_type,total_sleep_time_score,com.samsung.health.sleep.create_sh_ver,com.samsung.health.sleep.start_time,com.samsung.health.sleep.custom,com.samsung.health.sleep.modify_sh_ver,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.client_data_id,com.samsung.health.sleep.client_data_ver,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.deviceuuid,com.samsung.health.sleep.comment,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.end_time,com.samsung.health.sleep.datauuid
,,70,,24,46,0,5,34,316,48,1,29,0,,,,0,,,,,,,,,3,,,,66,,20,,,,,91d9afad-8651-4597-b27d-5fe470e87978.extra_data.json,,,,3,,89,67,316,,,,24-12-2022 04:58,,,32:59.9,32:53.2,,,UTC+0530,NBSTvGygd/,,com.sec.android.app.shealth,14:00.0,91d9afad-8651-4597-b27d-5fe470e87978
,,56,,13,13,5,9,39,156,97,1,33,0,,,,0,,,,,,,,,3,,,,29,,51,,,,,65d67af7-d7cc-4b59-994c-9158788d8aa9.extra_data.json,,,,1,,75,58,156,,,,05-12-2022 12:56,,,32:26.2,32:19.4,,,UTC+0530,NBSTvGygd/,,com.sec.android.app.shealth,32:00.0,65d67af7-d7cc-4b59-994c-9158788d8aa9
,,82,,56,127,0,3,163,436,86,0,156,0,,,,0,,,,,,,,,3,,,,99,,73,,,,,f764e887-2e5c-4897-8722-cf7fcfdf47a6.extra_data.json,,,,3,,62,90,436,,,,31-01-2023 21:55,,,29:04.3,28:01.9,,,UTC+0530,BAL2wTUNJW,,com.sec.android.app.shealth,11:00.0,f764e887-2e5c-4897-8722-cf7fcfdf47a6
,,51,,0,0,3,14,25,310,106,2,16,0,,,,0,,,,,,,,,3,,,,31,,16,,,,,259083cc-8444-4066-9dcf-c6114db3ded1.extra_data.json,,,,3,,91,49,310,,,,08:00.0,,,12:47.6,12:21.5,,,UTC+0530,U9To5WTAjE,,com.sec.android.app.shealth,18:00.0,259083cc-8444-4066-9dcf-c6114db3ded1
,,44,,0,0,0,11,11,77,77,2,9,0,,,,0,,,,,,,,,3,,,,8,,26,,,,,9d1ea169-b281-48bc-92b2-273edbfec469.extra_data.json,,,,1,,85,45,77,,,,30:00.0,,,33:44.9,21:29.9,,,UTC+0530,NBSTvGygd/,,com.sec.android.app.shealth,47:00.0,9d1ea169-b281-48bc-92b2-273edbfec469
,,70,,18,68,2,5,72,466,58,1,61,0,,,,0,,,,,,,,,3,,,,74,,32,,,,,f9ccfe79-c318-4a12-a475-47a506d29941.extra_data.json,,,,3,,84,75,466,,,,51:00.0,,,56:50.5,56:10.7,,,UTC+0530,BAL2wTUNJW,,com.sec.android.app.shealth,37:00.0,f9ccfe79-c318-4a12-a475-47a506d29941
,,32,,13,26,6,28,39,224,101,2,34,0,,,,0,,,,,,,,,3,,,,39,,39,,,,,2fd18c8e-45c1-4b89-b2cd-153402c15c27.extra_data.json,,,,2,,82,52,224,,,,56:00.0,,,46:09.2,45:04.0,,,UTC+0530,giB7OVEpS2,,com.sec.android.app.shealth,40:00.0,2fd18c8e-45c1-4b89-b2cd-153402c15c27
,,68,,21,35,3,7,20,393,110,1,7,0,,,,0,,,,,,,,,3,,,,56,,10,,,,,7d2bee86-359c-4b35-945a-d31b32bbeab1.extra_data.json,,,,3,,94,80,393,,,,03:00.0,,,12:26.3,20:12.6,,,UTC+0530,ws0Z2n1c+Y,,com.sec.android.app.shealth,36:00.0,7d2bee86-359c-4b35-945a-d31b32bbeab1
,,58,,15,15,8,7,15,131,131,1,6,0,,,,0,,,,,b03f73e0-a809-40d1-b063-73a47daa233c,,,,3,,,,29,,22,,,,,736bfa0a-ca9b-4d07-a268-ad481d81723f.extra_data.json,,,,1,,88,56,131,,,,08:00.0,,,24:36.3,24:31.0,,,UTC+0530,NBSTvGygd/,,com.sec.android.app.shealth,19:00.0,736bfa0a-ca9b-4d07-a268-ad481d81723f
,,73,,22,22,1,2,14,147,84,0,11,0,,,,0,,,,,,,,,3,,,,40,,18,,,,,1d5535e3-a611-4707-8761-e1767d66032d.extra_data.json,,,,1,,90,71,147,,,,03:00.0,,,36:43.3,36:39.4,,,UTC+0530,NBSTvGygd/,,com.sec.android.app.shealth,30:00.0,1d5535e3-a611-4707-8761-e1767d66032d
